order_id,date,region,product,units,unit_price,revenue,returned
A0001,2026-01-01,North,Plus,8,40.84,326.72,false
A0002,2026-01-01,West,Pro,5,60.44,302.20,false
A0003,2026-01-01,North,Basic,9,20.09,180.81,false
A0004,2026-01-01,West,Basic,9,23.47,211.23,false
A0005,2026-01-02,South,Pro,2,62.04,124.08,false
A0006,2026-01-02,West,Pro,1,61.93,61.93,false
A0007,2026-01-02,East,Plus,7,44.21,309.47,false
A0008,2026-01-02,East,Plus,1,40.19,40.19,false
A0009,2026-01-03,North,Pro,1,60.38,60.38,true
A0010,2026-01-03,South,Basic,7,21.88,153.16,false
A0011,2026-01-03,East,Plus,1,41.69,41.69,true
A0012,2026-01-03,West,Basic,6,24.03,144.18,false
A0013,2026-01-04,North,Pro,4,60.71,242.84,false
A0014,2026-01-04,West,Plus,4,42.25,169.00,false
A0015,2026-01-04,South,Basic,7,23.22,162.54,false
A0016,2026-01-04,West,Pro,1,64.45,64.45,false
A0017,2026-01-05,North,Basic,2,21.61,43.22,false
A0018,2026-01-05,South,Basic,4,22.19,88.76,false
A0019,2026-01-05,West,Pro,6,60.06,360.36,false
A0020,2026-01-05,North,Plus,3,41.31,123.93,false
A0021,2026-01-06,South,Pro,3,61.53,184.59,false
A0022,2026-01-06,East,Plus,7,40.27,281.89,false
A0023,2026-01-06,North,Plus,7,42.12,294.84,false
A0024,2026-01-06,West,Pro,4,63.40,253.60,false
A0025,2026-01-07,West,Plus,8,40.94,327.52,false
A0026,2026-01-07,North,Basic,5,20.72,103.60,false
A0027,2026-01-07,South,Plus,5,40.10,200.50,false
A0028,2026-01-07,West,Basic,9,24.70,222.30,false
A0029,2026-01-08,South,Basic,1,21.77,21.77,false
A0030,2026-01-08,South,Pro,2,61.26,122.52,false
A0031,2026-01-08,South,Plus,8,40.64,325.12,false
A0032,2026-01-08,East,Basic,1,23.95,23.95,false
A0033,2026-01-09,South,Plus,1,44.75,44.75,false
A0034,2026-01-09,East,Basic,4,24.95,99.80,false
A0035,2026-01-09,South,Plus,2,41.20,82.40,false
A0036,2026-01-09,West,Plus,3,42.01,126.03,false
A0037,2026-01-10,North,Plus,1,40.33,40.33,false
A0038,2026-01-10,North,Pro,5,62.64,313.20,false
A0039,2026-01-10,West,Pro,3,64.88,194.64,false
A0040,2026-01-10,North,Plus,6,41.86,251.16,false
A0041,2026-01-11,South,Plus,8,42.42,339.36,false
A0042,2026-01-11,South,Plus,5,42.66,213.30,false
A0043,2026-01-11,East,Plus,7,41.83,292.81,false
A0044,2026-01-11,West,Basic,1,23.70,23.70,false
A0045,2026-01-12,West,Pro,3,63.63,190.89,false
A0046,2026-01-12,East,Plus,5,43.43,217.15,false
A0047,2026-01-12,South,Basic,10,22.14,221.40,false
A0048,2026-01-12,West,Pro,5,60.18,300.90,false
A0049,2026-01-13,South,Basic,9,21.35,192.15,false
A0050,2026-01-13,West,Basic,4,24.83,99.32,false
A0051,2026-01-13,East,Pro,6,64.47,386.82,false
A0052,2026-01-13,West,Plus,1,42.05,42.05,false
A0053,2026-01-14,North,Basic,5,22.52,112.60,false
A0054,2026-01-14,North,Basic,9,20.98,188.82,false
A0055,2026-01-14,East,Basic,2,24.51,49.02,false
A0056,2026-01-14,West,Pro,6,62.35,374.10,false
A0057,2026-01-15,West,Basic,10,22.21,222.10,false
A0058,2026-01-15,North,Basic,9,22.01,198.09,false
A0059,2026-01-15,North,Pro,4,63.55,254.20,false
A0060,2026-01-15,West,Plus,7,44.06,308.42,false
A0061,2026-01-16,North,Basic,3,21.15,63.45,false
A0062,2026-01-16,West,Pro,4,60.70,242.80,false
A0063,2026-01-16,East,Basic,9,23.32,209.88,false
A0064,2026-01-16,North,Basic,2,22.78,45.56,false
A0065,2026-01-17,South,Plus,1,41.58,41.58,false
A0066,2026-01-17,North,Basic,5,22.98,114.90,false
A0067,2026-01-17,West,Plus,3,42.86,128.58,false
A0068,2026-01-17,East,Basic,1,24.56,24.56,false
A0069,2026-01-18,North,Pro,1,64.43,64.43,false
A0070,2026-01-18,West,Pro,2,63.71,127.42,false
A0071,2026-01-18,East,Pro,2,62.56,125.12,false
A0072,2026-01-18,West,Plus,6,41.42,248.52,false
A0073,2026-01-19,West,Pro,2,64.70,129.40,true
A0074,2026-01-19,South,Plus,7,42.07,294.49,true
A0075,2026-01-19,East,Plus,5,41.34,206.70,false
A0076,2026-01-19,West,Pro,5,64.30,321.50,false
A0077,2026-01-20,South,Plus,3,43.68,131.04,true
A0078,2026-01-20,West,Pro,5,60.28,301.40,false
A0079,2026-01-20,East,Plus,1,44.81,44.81,false
A0080,2026-01-20,West,Pro,5,60.92,304.60,false
A0081,2026-01-21,East,Basic,7,23.32,163.24,false
A0082,2026-01-21,East,Basic,3,23.64,70.92,false
A0083,2026-01-21,South,Basic,8,24.69,197.52,false
A0084,2026-01-21,North,Plus,3,40.53,121.59,false
A0085,2026-01-22,West,Pro,6,64.19,385.14,false
A0086,2026-01-22,East,Basic,2,21.31,42.62,true
A0087,2026-01-22,East,Basic,6,24.08,144.48,false
A0088,2026-01-22,North,Plus,4,43.48,173.92,false
A0089,2026-01-23,West,Basic,8,21.23,169.84,false
A0090,2026-01-23,East,Basic,8,20.82,166.56,false
A0091,2026-01-23,West,Plus,5,41.78,208.90,false
A0092,2026-01-23,North,Pro,4,63.79,255.16,false
A0093,2026-01-24,West,Pro,1,64.34,64.34,false
A0094,2026-01-24,East,Pro,6,62.75,376.50,false
A0095,2026-01-24,North,Basic,2,21.97,43.94,false
A0096,2026-01-24,South,Pro,3,61.44,184.32,false
A0097,2026-01-25,West,Basic,4,20.00,80.00,false
A0098,2026-01-25,South,Pro,2,62.97,125.94,true
A0099,2026-01-25,East,Plus,3,40.43,121.29,false
A0100,2026-01-25,East,Plus,8,42.12,336.96,false
A0101,2026-01-26,East,Pro,5,62.77,313.85,false
A0102,2026-01-26,South,Basic,1,21.67,21.67,false
A0103,2026-01-26,South,Plus,7,43.68,305.76,false
A0104,2026-01-26,South,Plus,6,41.45,248.70,false
A0105,2026-01-27,South,Plus,2,44.43,88.86,false
A0106,2026-01-27,North,Plus,2,41.51,83.02,false
A0107,2026-01-27,South,Pro,2,62.29,124.58,false
A0108,2026-01-27,South,Pro,1,64.20,64.20,false
A0109,2026-01-28,North,Plus,3,41.35,124.05,false
A0110,2026-01-28,North,Basic,9,23.64,212.76,false
A0111,2026-01-28,North,Plus,2,44.15,88.30,false
A0112,2026-01-28,North,Pro,1,59.99,59.99,false
A0113,2026-02-01,West,Basic,6,21.46,128.76,false
A0114,2026-02-01,North,Pro,4,60.31,241.24,false
A0115,2026-02-01,East,Basic,7,23.86,167.02,false
A0116,2026-02-01,South,Pro,2,64.53,129.06,false
A0117,2026-02-02,North,Pro,2,60.91,121.82,false
A0118,2026-02-02,South,Basic,4,22.90,91.60,false
A0119,2026-02-02,South,Pro,2,64.44,128.88,false
A0120,2026-02-02,East,Pro,4,63.46,253.84,false
